,Brand,Model,Rank,Benchmark,Samples,Brand,Model,Rank,Benchmark,Samples,memSize,memBusWidth,gpuClock,memClock,tmu,rop,igp,bus,memType,gpuChip
66,Nvidia,RTX 2080S (Super),18,138.0,243635,Nvidia,GTX 760 Ti OEM,152.0,27.2,1814.0,2.0,256.0,915.0,1502.0,112.0,32.0,No,PCIe 3.0 x16,GDDR5,GK104
67,Gigabyte,Gigabyte RTX 2080 Super 8GB Gaming,18,138.0,243635,Nvidia,GTX 1050,153.0,27.0,254118.0,2.0,128.0,1354.0,1752.0,40.0,32.0,No,PCIe 3.0 x16,GDDR5,GP107
68,EVGA,EVGA RTX 2080 Super 8GB XC Ultra,18,138.0,243635,Nvidia,GTX 950,157.0,26.0,119522.0,2.0,128.0,1024.0,1653.0,48.0,32.0,No,PCIe 3.0 x16,GDDR5,GM206
69,MSI,MSI RTX 2080 Super 8GB Gaming X,18,138.0,243635,Nvidia,GTX 780M,160.0,24.9,3942.0,4.0,256.0,771.0,1250.0,128.0,32.0,No,MXM-B (3.0),GDDR5,GK104
70,Asus,Asus RTX 2080 Super 8GB ROG Strix A8G,18,138.0,243635,Nvidia,Quadro P1000,161.0,24.6,7154.0,4.0,128.0,1266.0,1253.0,40.0,32.0,No,PCIe 3.0 x16,GDDR5,GP107
71,Asus,Asus RTX 2080 Super 8GB ROG Strix O8G,18,138.0,243635,Nvidia,Quadro P1000,161.0,24.6,7154.0,4.0,128.0,1354.0,1502.0,32.0,16.0,No,PCIe 3.0 x16,GDDR5,GP107
72,MSI,MSI RTX 2080 Super 8GB Ventus XS OC,18,138.0,243635,Nvidia,GTX 965M,164.0,23.8,3836.0,2.0,128.0,935.0,1253.0,64.0,32.0,No,MXM-B (3.0),GDDR5,GM206
73,MSI,MSI RTX 2080 Super 8GB Ventus OC,18,138.0,243635,Nvidia,GTX 965M,164.0,23.8,3836.0,4.0,128.0,935.0,1253.0,64.0,32.0,No,MXM-B (3.0),GDDR5,GM204
74,Gigabyte,Gigabyte RTX 2080 Super 8GB Windforce,18,138.0,243635,Nvidia,GTX 965M,164.0,23.8,3836.0,2.0,128.0,924.0,1253.0,64.0,32.0,No,MXM-B (3.0),GDDR5,GM204
75,EVGA,EVGA RTX 2080 Super 8GB Black Gaming,18,138.0,243635,Nvidia,GTX 965M,164.0,23.8,3836.0,2.0,128.0,540.0,1253.0,64.0,32.0,No,MXM-B (3.0),GDDR5,GM204
