Brand,Model,Rank,Benchmark,Samples
Gigabyte,Gigabyte RX 5600 XT 6GB Windforce OC,62,80.7,25892
MSI,MSI RX 5600 XT 6GB Gaming MX,62,80.7,25892
Nvidia,GTX 980 Ti,63,79.9,218447
EVGA,EVGA GTX 980 Ti 6GB ACX SC+ ACX 2.0+ w/BP,63,79.9,218447
EVGA,EVGA GTX 980 Ti 6GB SC,63,79.9,218447
Asus,ASUS GTX 980 Ti 6GB,63,79.9,218447
MSI,MSI GTX 980 Ti 6GB Gaming,63,79.9,218447
Gigabyte,Gigabyte GTX 980 Ti 6GB GV-N98TG1,63,79.9,218447
Gigabyte,Gigabyte GTX 980 Ti 6GB Windforce 3X OC,63,79.9,218447
MSI,MSI GTX 980 TI 6GB OC GOLDEN LE,63,79.9,218447
EVGA,EVGA GTX 980 Ti 6GB Classified Gaming ACX 2.0+,63,79.9,218447
Nvidia,GTX 1070,64,79.8,1286823
Asus,ASUS GTX 1070 8GB Founders Edition,64,79.8,1286823
Nvidia,ZOTAC GTX 1070 8GB Founders Edition ,64,79.8,1286823
Nvidia,PNY GTX 1070 8GB Founders Edition,64,79.8,1286823
Nvidia,Gigabyte GTX 1070 8GB Founders Edition,64,79.8,1286823
Nvidia,MSI GTX 1070 Founders Edition,64,79.8,1286823
EVGA,EVGA GTX 1070 8GB Founders Edition,64,79.8,1286823
MSI,MSI GTX 1070 8GB GAMING X,64,79.8,1286823
MSI,MSI GTX 1070 8GB GAMING X,64,79.8,1286823
Gigabyte,Gigabyte GTX 1070 8GB G1 Gaming,64,79.8,1286823
MSI,MSI GTX 1070 8GB ARMOR OC,64,79.8,1286823
EVGA,EVGA GTX 1070 8GB SC GAMING,64,79.8,1286823
Asus,Asus GTX 1070 8GB STRIX OC,64,79.8,1286823
EVGA,EVGA GTX 1070 8GB FTW Gaming,64,79.8,1286823
Asus,Asus GTX 1070 8GB STRIX,64,79.8,1286823
Zotac,Zotac GTX 1070 8GB AMP! Extreme,64,79.8,1286823
Gigabyte,Gigabyte GTX 1070 8GB Windforce OC,64,79.8,1286823
MSI,MSI GTX 1070 8GB Gaming,64,79.8,1286823
Asus,Asus GTX 1070 8GB Dual OC,64,79.8,1286823
EVGA,EVGA GTX 1070 8GB SC Gaming ACX 3.0,64,79.8,1286823
EVGA,EVGA GTX 1070 8GB Gaming ACX 3.0,64,79.8,1286823
EVGA,EVGA GTX 1070 8GB FTW DT Gaming,64,79.8,1286823
Gainward,Gainward GTX 1070 8GB Phoenix GS,64,79.8,1286823
Gigabyte,Gigabyte GTX 1070 8GB XTREME,64,79.8,1286823
Asus,Asus GTX 1070 8GB Turbo,64,79.8,1286823
MSI,MSI GTX 1070 8GB SEA HAWK X,64,79.8,1286823
Gigabyte,Gigabyte GTX 1070 8GB Mini ITX OC,64,79.8,1286823
EVGA,EVGA GTX 1070 8GB FTW2,64,79.8,1286823
AMD,RX 6700M,65,79.5,62
Nvidia,RTX 2070 (Mobile Max-Q),66,78.6,9581
Nvidia,GTX 1080 (Mobile Max-Q),67,78.1,3126
Nvidia,GTX Titan X,68,76.9,18905
EVGA,EVGA GTX TITAN X 12GB SC,68,76.9,18905
Asus,ASUS GTX TITAN X 12GB,68,76.9,18905
EVGA,EVGA GTX TITAN X 12GB,68,76.9,18905
Nvidia,GTX 1660 Ti,69,76.2,320515
MSI,MSI GTX 1660 Ti 6GB Ventus XS OC,69,76.2,320515
EVGA,EVGA GTX 1660 Ti 6GB Black Gaming,69,76.2,320515
MSI,MSI GTX 1660 Ti 6GB Gaming X,69,76.2,320515
Asus,Asus GTX 1660 Ti 6GB Dual,69,76.2,320515
EVGA,EVGA GTX 1660 Ti 6GB XC Gaming,69,76.2,320515
Gigabyte,Gigabyte GTX 1660 Ti 6GB Windforce OC,69,76.2,320515
Gigabyte,Gigabyte GTX 1660 Ti 6GB OC,69,76.2,320515
Asus,Asus GTX 1660 Ti 6GB Phoenix,69,76.2,320515
AMD,RX 6600,70,76.2,18320
Asus,Asus RX 6600 8GB Dual,70,76.2,18320
XFX,XFX RX 6600 8GB Speedster SWFT 210,70,76.2,18320
Gigabyte,Gigabyte RX 6600 8GB Eagle,70,76.2,18320
MSI,MSI RX 6600 8GB Mech 2X OC,70,76.2,18320
Sapphire,Sapphire RX 6600 8GB Pulse,70,76.2,18320
PowerColor,PowerColor RX 6600 8GB Hellhound,70,76.2,18320
PowerColor,PowerColor RX 6600 8GB Fighter,70,76.2,18320
Nvidia,Quadro M6000 24GB,71,75.3,336
Nvidia,Quadro M6000,72,73.3,596
