Brand,Model,Rank,Benchmark,Samples,memSize,memBusWidth,gpuClock,memClock,tmu,rop,igp,bus,memType,gpuChip
Nvidia,GTX 650 Ti Boost,199,18.1,15557,2,192,980,1502,64,24,No,PCIe 3.0 x16,GDDR5,GK106
Nvidia,GTX 960M,201,17.7,68656,4,128,1097,1253,40,16,No,MXM-B (3.0),GDDR5,GM107
Nvidia,Quadro K2200,204,17.3,15507,4,128,1046,1253,40,16,No,PCIe 2.0 x16,GDDR5,GM107
Nvidia,GTX 770M,205,17.2,6278,3,192,706,1002,80,24,No,MXM-B (3.0),GDDR5,GK106
Nvidia,GTX 560 Ti,206,17.1,41708,1.024,256,823,1002,64,32,No,PCIe 2.0 x16,GDDR5,GF114
Nvidia,Quadro K5000M,211,16.4,345,4,256,601,750,112,32,No,MXM-B (3.0),GDDR5,GK104
Nvidia,GTX 860M,213,16.3,19551,4,128,1020,1253,40,16,No,MXM-B (3.0),GDDR5,GM107
Nvidia,GTX 860M,213,16.3,19551,2,128,797,1250,96,16,No,PCIe 3.0 x16,GDDR5,GK104
Nvidia,GTX 675MX,215,16,567,2,256,654,900,80,32,No,MXM-B (3.0),GDDR5,GK104
Nvidia,GTX 650 Ti,216,15.5,26520,1.024,128,928,1350,64,16,No,PCIe 3.0 x16,GDDR5,GK106
Nvidia,GTX 470,217,15.5,5279,1.28,320,608,837,56,40,No,PCIe 2.0 x16,GDDR5,GF100
Nvidia,GTX 850M,219,15.2,13563,2,128,902,1001,40,16,No,PCIe 3.0 x16,DDR3,GM107
Nvidia,GTX 750,220,15.2,73531,1.024,128,1020,1253,32,16,No,PCIe 3.0 x16,GDDR5,GM107
Nvidia,GTX 950M,222,14.9,38138,4,128,993,900,40,16,No,PCIe 3.0 x8,DDR3,GM107
Nvidia,MX250,224,14.5,9648,2,64,1519,1502,24,16,No,PCIe 3.0 x4,GDDR5,GP108
Nvidia,MX250,224,14.5,9648,2,64,937,1502,24,16,No,PCIe 3.0 x4,GDDR5,GP108B
Nvidia,GT 1030,225,14.4,171815,2,64,1228,1502,24,16,No,PCIe 3.0 x4,GDDR5,GP108
Nvidia,GTX 460 v2,226,14.3,669,1.024,192,779,1002,56,24,No,PCIe 2.0 x16,GDDR5,GF114
Nvidia,GTX 560,228,14.2,28403,1.024,256,810,1000,56,32,No,PCIe 2.0 x16,GDDR5,GF114
Nvidia,GTX 765M,229,14.1,6997,2,128,797,1002,64,16,No,MXM-B (3.0),GDDR5,GK106
Nvidia,Quadro 6000,230,13.6,1446,6,384,574,747,56,48,No,PCIe 2.0 x16,GDDR5,GF100
Nvidia,Quadro K1200,231,13.4,3830,4,128,1058,1250,32,16,No,PCIe 2.0 x16,GDDR5,GM107
Nvidia,GTX 580M,232,13.3,406,2,256,620,750,64,32,No,MXM-B (3.0),GDDR5,GF114
AMD,RX 550,233,13.3,82224,2,128,1100,1750,32,16,No,PCIe 3.0 x8,GDDR5,Lexa
Nvidia,GTX 675M,234,13.3,989,2,256,620,750,64,32,No,MXM-B (3.0),GDDR5,GF114
Nvidia,Quadro K4000,235,13.1,10288,3,192,810,1404,64,24,No,PCIe 2.0 x16,GDDR5,GK106
Nvidia,GTX 460,240,12.5,30678,1.024,256,675,900,56,32,No,PCIe 2.0 x16,GDDR5,GF104
Nvidia,GTX 460,240,12.5,30678,0.768,192,675,900,56,24,No,PCIe 2.0 x16,GDDR5,GF104
Nvidia,Quadro K4000M,243,12.2,619,4,256,601,700,80,32,No,MXM-B (3.0),GDDR5,GK104
Nvidia,GTX 670MX,244,12.1,2241,3,192,601,700,80,24,No,PCIe 3.0 x16,GDDR5,GK104
Nvidia,GTX 465,247,11.9,1411,1.024,256,608,802,44,32,No,PCIe 2.0 x16,GDDR5,GF100
Nvidia,Quadro K3100M,249,11.6,2810,4,256,706,800,64,32,No,MXM-B (3.0),GDDR5,GK104
